,age,c_charge_desc,c_charge_degree,c_days_from_compas,is_recid,juv_fel_count,juv_misd_count,juv_other_count,priors_count,r_days_from_arrest,race,sex,vr_charge_desc
3,34,Felony Battery w/Prior Convict,1,1.0,1,0,0,0,0,0.0,African-American,Male,Felony Battery (Dom Strang)
4,24,Possession of Cocaine,1,1.0,1,0,0,1,4,0.0,African-American,Male,na
5,24,Possession of Cocaine,1,1.0,1,0,0,1,4,0.0,African-American,Male,na
6,24,Possession of Cocaine,1,1.0,1,0,0,1,4,0.0,African-American,Male,na
7,24,Possession of Cocaine,1,1.0,1,0,0,1,4,0.0,African-American,Male,na
8,24,Possession of Cocaine,1,1.0,1,0,0,1,4,0.0,African-American,Male,na
9,23,Possession of Cannabis,1,1.0,0,0,1,0,1,0.0,African-American,Male,na
12,41,Possession Burglary Tools,1,1.0,1,0,0,0,14,0.0,Caucasian,Male,na
13,41,Possession Burglary Tools,1,1.0,1,0,0,0,14,0.0,Caucasian,Male,na
17,39,Battery,1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
18,20,Possession Of Alprazolam,1,1.0,0,0,0,1,0,0.0,Caucasian,Male,na
19,20,Possession Of Alprazolam,1,1.0,0,0,0,1,0,0.0,Caucasian,Male,na
20,20,Possession Of Alprazolam,1,1.0,0,0,0,1,0,0.0,Caucasian,Male,na
21,26,Possession Of Alprazolam,1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
22,26,Possession Of Alprazolam,1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
23,26,Possession Of Alprazolam,1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
24,21,Insurance Fraud,1,308.0,1,0,0,0,1,0.0,Caucasian,Male,Aggrav Battery w/Deadly Weapon
25,27,"Poss 3,4 MDMA (Ecstasy)",1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
26,23,Battery,1,0.0,1,0,0,0,3,0.0,African-American,Male,na
27,37,Battery,1,0.0,0,0,0,0,0,0.0,Caucasian,Female,na
28,22,Battery,1,0.0,0,0,0,0,0,0.0,Caucasian,Male,na
29,41,"Poss3,4 Methylenedioxymethcath",1,1.0,0,0,0,0,0,0.0,African-American,Male,na
30,47,arrest case no charge,1,490.0,1,0,0,0,1,0.0,Caucasian,Female,na
31,47,arrest case no charge,1,490.0,1,0,0,0,1,0.0,Caucasian,Female,na
32,31,Felony Driving While Lic Suspd,1,71.0,1,0,0,0,7,0.0,African-American,Male,na
33,31,Felony Driving While Lic Suspd,1,71.0,1,0,0,0,7,0.0,African-American,Male,na
